5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
2009/3/2 0:00,66,1,100
2009/3/2 0:05,75,1,100
2009/3/2 0:10,63,1,100
2009/3/2 0:15,63,1,100
2009/3/2 0:20,87,1,100
2009/3/2 0:25,90,1,100
2009/3/2 0:30,75,1,100
2009/3/2 0:35,90,1,100
2009/3/2 0:40,78,1,100
2009/3/2 0:45,54,1,100
2009/3/2 0:50,60,1,100
2009/3/2 0:55,54,1,100
2009/3/2 1:00,48,1,100
2009/3/2 1:05,39,1,100
2009/3/2 1:10,45,1,100
2009/3/2 1:15,69,1,100
2009/3/2 1:20,48,1,100
2009/3/2 1:25,69,1,100
2009/3/2 1:30,51,1,100
2009/3/2 1:35,54,1,100
2009/3/2 1:40,48,1,100
2009/3/2 1:45,42,1,100
2009/3/2 1:50,27,1,100
2009/3/2 1:55,45,1,100
2009/3/2 2:00,36,1,100
2009/3/2 2:05,45,1,100
2009/3/2 2:10,42,1,100
2009/3/2 2:15,41,1,100
2009/3/2 2:20,40,1,100
2009/3/2 2:25,40,1,100
2009/3/2 2:30,39,1,100
2009/3/2 2:35,54,1,100
2009/3/2 2:40,54,1,100
2009/3/2 2:45,54,1,100
2009/3/2 2:50,48,1,100
2009/3/2 2:55,51,1,100
2009/3/2 3:00,57,1,100
2009/3/2 3:05,33,1,100
2009/3/2 3:10,72,1,100
2009/3/2 3:15,102,1,100
2009/3/2 3:20,66,1,100
2009/3/2 3:25,90,1,100
2009/3/2 3:30,84,1,100
2009/3/2 3:35,81,1,100
2009/3/2 3:40,84,1,100
2009/3/2 3:45,108,1,100
2009/3/2 3:50,93,1,100
2009/3/2 3:55,75,1,100
2009/3/2 4:00,111,1,100
2009/3/2 4:05,117,1,100
2009/3/2 4:10,150,1,100
2009/3/2 4:15,165,1,100
2009/3/2 4:20,135,1,100
2009/3/2 4:25,174,1,100
2009/3/2 4:30,204,1,100
2009/3/2 4:35,189,1,100
2009/3/2 4:40,210,1,100
2009/3/2 4:45,219,1,100
2009/3/2 4:50,246,1,100
2009/3/2 4:55,216,1,100
2009/3/2 5:00,252,1,100
2009/3/2 5:05,303,1,100
2009/3/2 5:10,282,1,100
2009/3/2 5:15,327,1,100
2009/3/2 5:20,306,1,100
2009/3/2 5:25,360,1,100
2009/3/2 5:30,324,1,100
2009/3/2 5:35,324,1,100
2009/3/2 5:40,294,1,100
2009/3/2 5:45,246,1,100
2009/3/2 5:50,318,1,100
2009/3/2 5:55,342,1,100
2009/3/2 6:00,327,1,100
2009/3/2 6:05,327,1,100
2009/3/2 6:10,294,1,100
2009/3/2 6:15,330,1,100
2009/3/2 6:20,360,1,100
2009/3/2 6:25,411,1,100
2009/3/2 6:30,333,1,100
2009/3/2 6:35,312,1,100
2009/3/2 6:40,315,1,100
2009/3/2 6:45,366,1,100
2009/3/2 6:50,354,1,100
2009/3/2 6:55,366,1,100
2009/3/2 7:00,375,1,100
2009/3/2 7:05,405,1,100
2009/3/2 7:10,375,1,100
2009/3/2 7:15,381,1,100
2009/3/2 7:20,366,1,100
2009/3/2 7:25,348,1,100
2009/3/2 7:30,339,1,100
2009/3/2 7:35,360,1,100
2009/3/2 7:40,459,1,100
2009/3/2 7:45,414,1,100
2009/3/2 7:50,366,1,100
2009/3/2 7:55,351,1,100
2009/3/2 8:00,327,1,100
2009/3/2 8:05,384,1,100
2009/3/2 8:10,393,1,100
2009/3/2 8:15,432,1,100
2009/3/2 8:20,402,1,100
2009/3/2 8:25,378,1,100
2009/3/2 8:30,366,1,100
2009/3/2 8:35,363,1,100
2009/3/2 8:40,411,1,100
2009/3/2 8:45,330,1,100
2009/3/2 8:50,411,1,100
2009/3/2 8:55,390,1,100
2009/3/2 9:00,375,1,100
2009/3/2 9:05,378,1,100
2009/3/2 9:10,384,1,100
2009/3/2 9:15,336,1,100
2009/3/2 9:20,363,1,100
2009/3/2 9:25,351,1,100
2009/3/2 9:30,330,1,100
2009/3/2 9:35,339,1,100
2009/3/2 9:40,363,1,100
2009/3/2 9:45,339,1,100
2009/3/2 9:50,330,1,100
2009/3/2 9:55,339,1,100
2009/3/2 10:00,315,1,100
2009/3/2 10:05,345,1,100
2009/3/2 10:10,294,1,100
2009/3/2 10:15,318,1,100
2009/3/2 10:20,321,1,100
2009/3/2 10:25,327,1,100
2009/3/2 10:30,345,1,100
2009/3/2 10:35,333,1,100
2009/3/2 10:40,327,1,100
2009/3/2 10:45,327,1,100
2009/3/2 10:50,351,1,100
2009/3/2 10:55,270,1,100
2009/3/2 11:00,291,1,100
2009/3/2 11:05,339,1,100
2009/3/2 11:10,258,1,100
2009/3/2 11:15,330,1,100
2009/3/2 11:20,330,1,100
2009/3/2 11:25,357,1,100
2009/3/2 11:30,312,1,100
2009/3/2 11:35,321,1,100
2009/3/2 11:40,327,1,100
2009/3/2 11:45,303,1,100
2009/3/2 11:50,276,1,100
2009/3/2 11:55,300,1,100
2009/3/2 12:00,273,1,100
2009/3/2 12:05,291,1,100
2009/3/2 12:10,288,1,100
2009/3/2 12:15,291,1,100
2009/3/2 12:20,309,1,100
2009/3/2 12:25,285,1,100
2009/3/2 12:30,342,1,100
2009/3/2 12:35,291,1,100
2009/3/2 12:40,273,1,100
2009/3/2 12:45,351,1,100
2009/3/2 12:50,300,1,100
2009/3/2 12:55,276,1,100
2009/3/2 13:00,285,1,100
2009/3/2 13:05,306,1,100
2009/3/2 13:10,297,1,100
2009/3/2 13:15,300,1,100
2009/3/2 13:20,339,1,100
2009/3/2 13:25,357,1,100
2009/3/2 13:30,333,1,100
2009/3/2 13:35,318,1,100
2009/3/2 13:40,318,1,100
2009/3/2 13:45,336,1,100
2009/3/2 13:50,372,1,100
2009/3/2 13:55,342,1,100
2009/3/2 14:00,312,1,100
2009/3/2 14:05,330,1,100
2009/3/2 14:10,339,1,100
2009/3/2 14:15,369,1,100
2009/3/2 14:20,354,1,100
2009/3/2 14:25,333,1,100
2009/3/2 14:30,348,1,100
2009/3/2 14:35,378,1,100
2009/3/2 14:40,378,1,100
2009/3/2 14:45,390,1,100
2009/3/2 14:50,372,1,100
2009/3/2 14:55,387,1,100
2009/3/2 15:00,369,1,100
2009/3/2 15:05,345,1,100
2009/3/2 15:10,363,1,100
2009/3/2 15:15,408,1,100
2009/3/2 15:20,381,1,100
2009/3/2 15:25,402,1,100
2009/3/2 15:30,369,1,100
2009/3/2 15:35,372,1,100
2009/3/2 15:40,429,1,100
2009/3/2 15:45,438,1,100
2009/3/2 15:50,402,1,100
2009/3/2 15:55,399,1,100
2009/3/2 16:00,390,1,100
2009/3/2 16:05,333,1,100
2009/3/2 16:10,318,1,100
2009/3/2 16:15,342,1,100
2009/3/2 16:20,321,1,100
2009/3/2 16:25,348,1,100
2009/3/2 16:30,297,1,100
2009/3/2 16:35,339,1,100
2009/3/2 16:40,381,1,100
2009/3/2 16:45,363,1,100
2009/3/2 16:50,348,1,100
2009/3/2 16:55,357,1,100
2009/3/2 17:00,321,1,100
2009/3/2 17:05,291,1,100
2009/3/2 17:10,348,1,100
2009/3/2 17:15,333,1,100
2009/3/2 17:20,381,1,100
2009/3/2 17:25,333,1,100
2009/3/2 17:30,369,1,100
2009/3/2 17:35,336,1,100
2009/3/2 17:40,312,1,100
2009/3/2 17:45,306,1,100
2009/3/2 17:50,300,1,100
2009/3/2 17:55,306,1,100
2009/3/2 18:00,285,1,100
2009/3/2 18:05,312,1,100
2009/3/2 18:10,303,1,100
2009/3/2 18:15,312,1,100
2009/3/2 18:20,315,1,100
2009/3/2 18:25,309,1,100
2009/3/2 18:30,297,1,100
2009/3/2 18:35,300,1,100
2009/3/2 18:40,270,1,100
2009/3/2 18:45,255,1,100
2009/3/2 18:50,255,1,100
2009/3/2 18:55,255,1,100
2009/3/2 19:00,294,1,100
2009/3/2 19:05,276,1,100
2009/3/2 19:10,270,1,100
2009/3/2 19:15,264,1,100
2009/3/2 19:20,243,1,100
2009/3/2 19:25,255,1,100
2009/3/2 19:30,228,1,100
2009/3/2 19:35,189,1,100
2009/3/2 19:40,207,1,100
2009/3/2 19:45,177,1,100
2009/3/2 19:50,213,1,100
2009/3/2 19:55,219,1,100
2009/3/2 20:00,240,1,100
2009/3/2 20:05,207,1,100
2009/3/2 20:10,222,1,100
2009/3/2 20:15,204,1,100
2009/3/2 20:20,198,1,100
2009/3/2 20:25,195,1,100
2009/3/2 20:30,180,1,100
2009/3/2 20:35,165,1,100
2009/3/2 20:40,198,1,100
2009/3/2 20:45,222,1,100
2009/3/2 20:50,231,1,100
2009/3/2 20:55,174,1,100
2009/3/2 21:00,168,1,100
2009/3/2 21:05,198,1,100
2009/3/2 21:10,195,1,100
2009/3/2 21:15,234,1,100
2009/3/2 21:20,189,1,100
2009/3/2 21:25,204,1,100
2009/3/2 21:30,195,1,100
2009/3/2 21:35,216,1,100
2009/3/2 21:40,195,1,100
2009/3/2 21:45,165,1,100
2009/3/2 21:50,180,1,100
2009/3/2 21:55,177,1,100
2009/3/2 22:00,165,1,100
2009/3/2 22:05,171,1,100
2009/3/2 22:10,213,1,100
2009/3/2 22:15,204,1,100
2009/3/2 22:20,195,1,100
2009/3/2 22:25,174,1,100
2009/3/2 22:30,159,1,100
2009/3/2 22:35,159,1,100
2009/3/2 22:40,135,1,100
2009/3/2 22:45,141,1,100
2009/3/2 22:50,132,1,100
2009/3/2 22:55,150,1,100
2009/3/2 23:00,108,1,100
2009/3/2 23:05,120,1,100
2009/3/2 23:10,174,1,100
2009/3/2 23:15,138,1,100
2009/3/2 23:20,162,1,100
2009/3/2 23:25,96,1,100
2009/3/2 23:30,114,1,100
2009/3/2 23:35,117,1,100
2009/3/2 23:40,78,1,100
2009/3/2 23:45,87,1,100
2009/3/2 23:50,93,1,100
2009/3/2 23:55,81,1,100
2009/3/3 0:00,57,1,100
2009/3/3 0:05,54,1,100
2009/3/3 0:10,84,1,100
2009/3/3 0:15,105,1,100
2009/3/3 0:20,102,1,100
2009/3/3 0:25,69,1,100
2009/3/3 0:30,78,1,100
2009/3/3 0:35,69,1,100
2009/3/3 0:40,72,1,100
2009/3/3 0:45,63,1,100
2009/3/3 0:50,72,1,100
2009/3/3 0:55,57,1,100
2009/3/3 1:00,66,1,100
2009/3/3 1:05,57,1,100
2009/3/3 1:10,45,1,100
2009/3/3 1:15,87,1,100
2009/3/3 1:20,60,1,100
2009/3/3 1:25,51,1,100
2009/3/3 1:30,48,1,100
2009/3/3 1:35,66,1,100
